mh_level,granularity,scope_id,dataset_name,status,reason,detectors_requested,detectors_succeeded,detectors_failed,scope_output_dir,cache_snapshot_path,cache_status,train_path,test_new_prices_path,test_new_products_path
mh18,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh18\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh18\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh18,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh18\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh18\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh18,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh18\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh18\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh19,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh19\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh19\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh19,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh19\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh19\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh19,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh19\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh19\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh19,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh19\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh19\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh20,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh20\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh20\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh20,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh20\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh20\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh20,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh20\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh20\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh20,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh20\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh20\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh21,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh21\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh21\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh21,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh21\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh21\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh21,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh21\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh21\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh21,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh21\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh21\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh22,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh22\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh22\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh22,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh22\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh22\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh22,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh22\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh22\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh22,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh22\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh22\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh23,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh23\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh23\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh23,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh23\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh23\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh23,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh23\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh23\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh23,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh23\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh23\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh24,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh24\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh24\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh24,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh24\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh24\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh24,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh24\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh24\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh24,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh24\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh24\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh25,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh25\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh25\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
mh25,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh25\by_country\COUNTRY_2_COUNTRY_2_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh25\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_2\COUNTRY_2_2026-02-08_test_new_products.parquet
mh25,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh25\by_country\COUNTRY_3_COUNTRY_3_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh25\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_3\COUNTRY_3_2026-02-08_test_new_products.parquet
mh25,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh25\by_country\COUNTRY_4_COUNTRY_4_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh25\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\by_country\COUNTRY_4\COUNTRY_4_2026-02-08_test_new_products.parquet
mh26,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\by_country_single_attempt_batch\mh26\by_country\COUNTRY_1_COUNTRY_1_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh26\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\template_cache.joblib,built,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\by_country\COUNTRY_1\COUNTRY_1_2026-02-08_test_new_products.parquet
